"동별(1)","항목",2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4
"동별(1)","항목",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"영등포구","등록외국인",23006,556,695,423,422,925,1216,1650,2211,2069,2074,3091,3722,2286,1122,345,91,44,33,15,12,4,22794,397,764,464,378,824,1212,1491,2257,2046,2056,2853,3406,2692,1273,443,120,46,37,17,12,6
"동작구","계",389714,8579,11742,12566,14203,28494,40128,34359,27206,29034,26584,30946,27770,27629,23737,16905,13614,9602,4684,1510,364,58,389576,8419,11477,12380,14067,28728,39997,34554,26941,28769,26376,30890,27906,27737,23987,17067,13788,9626,4866,1571,369,61
"동작구","한국인",378769,8463,11608,12472,13522,25531,38194,33403,26463,28478,26143,30329,26982,27092,23490,16822,13593,9589,4670,1507,363,55,378649,8327,11350,12268,13797,25820,37809,33527,26186,28180,25902,30309,27190,27091,23708,16962,13767,9613,4851,1566,368,58
"동작구","등록외국인",10945,116,134,94,681,2963,1934,956,743,556,441,617,788,537,247,83,21,13,14,3,1,3,10927,92,127,112,270,2908,2188,1027,755,589,474,581,716,646,279,105,21,13,15,5,1,3
"관악구","계",497883,7340,9668,11342,14437,38103,74907,57159,34398,33440,30033,35685,32721,33232,28531,21227,16775,11941,5055,1514,322,53,497827,7095,9352,11238,14331,38213,74364,57929,34335,33166,29815,35492,32775,33267,28913,21261,16973,12049,5307,1554,342,56
"관악구","한국인",481956,7080,9400,11193,13886,35441,71938,55349,33091,32482,29223,34530,31276,32305,28113,21080,16734,11922,5037,1506,317,53,481958,6890,9083,11069,14031,35860,71262,55928,32986,32153,28983,34416,31434,32166,28440,21084,16919,12030,5287,1545,337,55
"관악구","등록외국인",15927,260,268,149,551,2662,2969,1810,1307,958,810,1155,1445,927,418,147,41,19,18,8,5,-,15869,205,269,169,300,2353,3102,2001,1349,1013,832,1076,1341,1101,473,177,54,19,20,9,5,1
"서초구","계",412078,10533,17596,22868,22248,22412,28330,29664,28467,36879,36367,37715,28032,25306,22880,16365,12722,7972,3893,1398,367,64,412275,10361,17351,22868,22087,22276,28258,29665,28434,36769,36241,37827,28296,25286,23131,16523,12912,8117,4008,1409,388,68
"서초구","한국인",407664,10409,17409,22689,22117,22132,27766,29084,27879,36305,35939,37401,27807,25186,22819,16340,12706,7966,3886,1397,364,63,407840,10264,17183,22672,21955,22037,27719,29077,27855,36168,35798,37482,28062,25141,23068,16496,12894,8109,4001,1407,385,67
"서초구","등록외국인",4414,124,187,179,131,280,564,580,588,574,428,314,225,120,61,25,16,6,7,1,3,1,4435,97,168,196,132,239,539,588,579,601,443,345,234,145,63,27,18,8,7,2,3,1
"강남구","계",550282,12078,21041,30969,31056,29633,39666,41937,38439,49978,49882,49807,36535,32655,30369,22093,16802,10031,4896,1834,491,90,559720,12381,21720,31987,31039,29361,39867,42866,38886,50900,51105,50385,37227,33334,30916,22581,17314,10296,5048,1894,511,102
"강남구","한국인",544873,12030,20975,30906,30902,28998,38587,41044,37727,49465,49512,49496,36271,32526,30284,22048,16780,10024,4888,1831,490,89,554280,12346,21661,31929,30917,28848,38773,41945,38126,50368,50698,50067,36948,33174,30830,22537,17283,10290,5038,1892,509,101
"강남구","등록외국인",5409,48,66,63,154,635,1079,893,712,513,370,311,264,129,85,45,22,7,8,3,1,1,5440,35,59,58,122,513,1094,921,760,532,407,318,279,160,86,44,31,6,10,2,2,1
"송파구","계",660025,17603,25967,29246,28397,34441,51177,55839,50535,57824,49686,54262,47956,48198,42047,27622,19129,11602,5657,2215,531,91,659661,17220,25761,29173,28169,33922,50920,56143,50522,57477,49730,53972,48116,48016,42581,27960,19554,11766,5794,2226,551,88
"송파구","한국인",654166,17488,25826,29166,28287,34107,50512,55032,49757,57238,49225,53700,47334,47851,41887,27571,19105,11594,5652,2213,530,91,653736,17135,25622,29075,28083,33594,50287,55341,49704,56841,49275,53418,47530,47606,42399,27895,19526,11755,5789,2224,550,87
"송파구","등록외국인",5859,115,141,80,110,334,665,807,778,586,461,562,622,347,160,51,24,8,5,2,1,-,5925,85,139,98,86,328,633,802,818,636,455,554,586,410,182,65,28,11,5,2,1,1
"강동구","계",463318,12999,18070,19953,19085,23144,34110,35874,33769,40256,34825,37393,34208,36648,32131,21057,14611,8995,4182,1563,367,78,465549,12889,18107,20279,19284,22888,34129,35894,33762,40274,35344,37271,34456,36516,32477,21435,14998,9160,4322,1593,387,84
"강동구","한국인",459167,12920,17972,19859,19002,22892,33560,35330,33285,39872,34510,36962,33799,36389,32027,21014,14594,8994,4180,1562,367,77,461367,12818,18009,20183,19210,22630,33602,35358,33250,39865,35037,36873,34054,36222,32352,21390,14978,9154,4321,1591,387,83
"강동구","등록외국인",4151,79,98,94,83,252,550,544,484,384,315,431,409,259,104,43,17,1,2,1,-,1,4182,71,98,96,74,258,527,536,512,409,307,398,402,294,125,45,20,6,1,2,-,1
